url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://news.webindia123.com/news/Articles/Entertainment/20250606/4324171.html,,"Judge Arun Subramanianthreatens to remove Sean  Diddy  Combs from US court , here is why",20250606T054500Z,,news.webindia123.com,English,India
https://timesofindia.indiatimes.com/city/mysuru/create-awareness-against-drug-alcohol-abuse-dc/articleshow/121835718.cms,https://timesofindia.indiatimes.com/city/mysuru/create-awareness-against-drug-alcohol-abuse-dc/amp_articleshow/121835718.cms,"Create awareness against drug , alcohol abuse : DC | Mysuru News",20250613T220000Z,"https://static.toiimg.com/thumb/msid-117680007,width-1070,height-580,imgsize-277617,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India
https://www.livemint.com/entertainment/kanye-west-shows-support-for-sean-diddy-combs-amid-ongoing-sex-trafficking-trial-11749892884194.html,https://www.livemint.com/entertainment/kanye-west-shows-support-for-sean-diddy-combs-amid-ongoing-sex-trafficking-trial/amp-11749892884194.html,Kanye West shows support for Sean Diddy Combs amid ongoing sex - trafficking trial,20250614T094500Z,https://www.livemint.com/lm-img/img/2025/03/17/600x338/entertainmentlm2_1742216253443_1742216302206.webp,livemint.com,English,India
https://glamsham.com/ott/web-news/netflix-delhi-crime-season-3-shocking-baby-falak-case/,https://glamsham.com/ott/web-news/netflix-delhi-crime-season-3-shocking-baby-falak-case/?amp=1,NETFLIX NEXT BIG HIT ? Delhi Crime Season 3 to Explore the Shocking Baby Falak Case,20250606T193000Z,https://glamsham.com/wp-content/uploads/2025/06/Delhi-Crime-Season-3_pic-courtesy-X.jpg,glamsham.com,English,India
https://www.tribuneindia.com/news/punjab/jagdish-bhola-convict-in-rs-700-crore-drug-racket-walks-out-of-jail-after-12-years/,https://www.tribuneindia.com/news/punjab/jagdish-bhola-convict-in-rs-700-crore-drug-racket-walks-out-of-jail-after-12-years/amp,"Jagdish Bhola , convict in Rs 700 crore drug racket , walks out of jail after 12 years",20250602T081500Z,https://www.tribuneindia.com/sortd-service/imaginary/v22-01/jpg/large/high?url=dGhldHJpYnVuZS1zb3J0ZC1wcm8tcHJvZC1zb3J0ZC9tZWRpYWQ1NjdiNjAwLTNmNzYtMTFmMC1iYTVmLWE5OGI4NjhkYzJkMS5qcGc=,tribuneindia.com,English,India
https://www.prokerala.com/news/articles/a1642320.html,,NCB set to seize Rs 9 . 2 crore assets of Mexican drug cartel Indian aide,20250608T193000Z,,prokerala.com,English,India
https://timesofindia.indiatimes.com/city/bhubaneswar/6-arrested-for-arms-trafficking/articleshow/121579063.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/6-arrested-for-arms-trafficking/amp_articleshow/121579063.cms,6 arrested for arms trafficking | Bhubaneswar News,20250602T200000Z,"https://static.toiimg.com/thumb/msid-117597042,width-1070,height-580,imgsize-93129,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India
https://www.thehindu.com/news/national/andhra-pradesh/sex-workers-urge-government-to-provide-alternative-livelihood-extend-financial-support/article69650082.ece,https://www.thehindu.com/news/national/andhra-pradesh/sex-workers-urge-government-to-provide-alternative-livelihood-extend-financial-support/article69650082.ece/amp/,"Sex workers urge government to provide alternative livelihood , extend financial support",20250602T184500Z,https://www.thehindu.com/theme/images/og-image.png,thehindu.com,English,India
https://news.webindia123.com/news/Articles/India/20250607/4324736.html,,"NCB busts major pharma drug trafficking racket in Haridwar , 8 arrested ; clandestine lab unearthed",20250607T180000Z,,news.webindia123.com,English,India
https://www.thestatesman.com/india/haryanas-relentless-war-on-drugs-1800-plus-arrests-massive-seizures-and-public-mobilization-1503443692.html,https://www.thestatesman.com/india/haryanas-relentless-war-on-drugs-1800-plus-arrests-massive-seizures-and-public-mobilization-1503443692.html/amp,"Haryana relentless war on drugs : 1 , 800 plus arrests , massive seizures , and public mobilization",20250610T113000Z,https://www.thestatesman.com/wp-content/uploads/2025/06/Untitled-design-4-3-jpg.webp,thestatesman.com,English,India
